"year","open","close","period","next_open","cum_days","G_men","G_sip","O_uni","G_sac","G_rubp","G_rubw","P_obl","N_dut","G_cal","G_cra","G_glu","G_tru","G_bul","G_fal","temp_K","temp_oC"
2009,"2009-11-08","2009-11-14",6,8,670,5.14,3.14,1.14,3.14,1.14,1.14,2.57,7.14,4,0.86,3.43,0,0,0,298.98000226702,25.8300022670201
2009,"2009-11-22","2009-11-28",6,1,684,13.71,8.57,3.14,2.29,2.57,2.86,69.14,42.86,10,1.43,0.29,0,0.86,0.29,295.88572038923,22.7357203892299
2009,"2009-11-29","2009-12-05",6,8,691,30.86,6,0.29,3.43,2.29,0.57,50.86,69.14,8,2.29,0,0.29,0.29,0.57,296.131430489676,22.9814304896764
2009,"2009-12-13","2009-12-19",6,1,705,1.14,12,1.14,1.71,1.14,3.43,38.29,76,26.29,0.57,1.14,0,3.43,17.71,296.44571358817,23.2957135881697
2009,"2009-12-20","2009-12-26",6,1,712,0.86,7.71,0,1.14,0,0.57,7.71,28.57,39.43,1.43,0,3.14,2.86,3.71,295.371425083705,22.2214250837054
2009,"2009-12-27","2010-01-02",6,8,719,5.14,4.57,0,1.14,2.29,3.43,46.29,57.71,187.43,2.86,2.29,22.86,28,20.57,294.797140938895,21.6471409388951
2010,"2010-01-10","2010-01-16",6,1,733,2.29,4,0.57,5.14,1.71,1.71,42.86,34.86,33.71,0.57,3.43,277.14,1.71,13.14,293.948573521205,20.7985735212054
2010,"2010-01-17","2010-01-23",6,1,740,0,2.29,0,2.29,0,0,22.29,38.86,18.29,0,9.14,253.71,0.57,6.29,294.121429443359,20.9714294433594
2010,"2010-01-24","2010-02-06",13,22,754,10.57,2,1.14,1.71,1.14,4.86,22,24,17.43,0,7.71,451.14,1.71,1.43,294.301428658622,21.1514286586217
2010,"2010-02-28","2010-03-06",6,4,782,13.71,6,1.14,7.71,2.57,6.57,27.43,15.71,28.86,3.14,4.29,55.14,0.86,0,293.051426478795,19.9014264787947
2010,"2010-03-10","2010-03-23",13,1,799,4,14.86,1.14,5.14,6,20,42.86,49.43,88.57,0.57,11.71,25.43,2.86,0,292.858570643834,19.7085706438338
2010,"2010-03-24","2010-04-06",13,1,813,10.57,13.43,1.14,9.43,11.43,25.71,31.43,38,275.71,3.14,21.71,31.43,13.43,0,293.291427612305,20.1414276123047
2010,"2010-04-07","2010-04-13",6,1,820,2.57,11.71,1.43,3.71,4.86,14.57,14.86,16.57,102,0.57,9.43,6.86,10.29,0,293.954289027623,20.8042890276228
2010,"2010-04-14","2010-04-20",6,1,827,2.86,14.86,2.29,9.71,66.86,50.86,8,18.29,114.29,9.71,12.57,76.57,16.57,0,294.470001220703,21.3200012207031
2010,"2010-04-21","2010-04-27",6,1,834,8.57,34.29,4,22.29,100,111.43,12,18.29,61.14,7.43,10.29,6.86,1.14,0,295.780003138951,22.6300031389509
2010,"2010-04-28","2010-05-04",6,1,841,8.57,6.29,13.14,26.86,30.29,28.57,6.29,13.14,25.14,6.29,8.57,12,0,0,296.601427350725,23.4514273507255
2010,"2010-05-05","2010-05-11",6,1,848,0,1.43,2,4.86,3.71,4,0.57,1.71,9.71,5.71,0.29,3.71,0,0,297.818572998047,24.6685729980469
2010,"2010-05-12","2010-05-18",6,1,855,0.57,21.14,8.57,11.43,17.14,42.86,0,3.43,41.71,4.57,6.86,5.71,0,0,299.03857421875,25.88857421875
2010,"2010-05-19","2010-05-25",6,1,862,0.29,4.29,2,3.14,5.71,13.71,0,0.86,20,7.71,3.43,2.57,0,0,299.821424211775,26.6714242117746
2010,"2010-05-26","2010-06-01",6,1,869,2.29,4.29,2.57,8.29,23.43,34.57,0,3.43,24.29,6.29,4.29,1.71,0,0,300.834289550781,27.6842895507813
2010,"2010-06-02","2010-06-08",6,1,876,0.57,4.57,1.43,4.29,18.29,31.43,0,3.43,10.57,4.57,6.86,0.57,0,0,300.997144426618,27.8471444266183
2010,"2010-06-09","2010-06-15",6,1,883,0,4,0,2.29,13.43,11.71,0,0.29,8.29,2.86,3.14,0.29,0.29,0,301.868569510324,28.7185695103237
2010,"2010-06-16","2010-06-22",6,1,890,0.86,4.86,2.86,6.86,25.43,25.43,0.57,1.71,18.29,2.86,2.57,0.29,0,0,303.542855398996,30.3928553989956
2010,"2010-06-23","2010-06-29",6,1,897,0.57,7.14,0.57,4.86,15.14,23.43,0.57,2.86,20,5.71,2,0.57,0.57,0,302.932856968471,29.782856968471
2010,"2010-06-30","2010-07-06",6,1,904,1.14,3.43,2.29,9.14,82.29,36.57,0,4.57,14.29,8.57,1.71,2.29,0,0,302.067147391183,28.9171473911831
2010,"2010-07-07","2010-07-13",6,1,911,1.14,4,0.57,6.86,121.14,25.14,0,4.57,5.71,28,1.14,0.57,0,0,302.5,29.35
2010,"2010-07-14","2010-07-24",10,1,922,0,6.91,1.45,4.91,44.36,19.82,0,3.82,7.82,3.27,0.91,1.09,0,0,302.999994451349,29.8499944513495
2010,"2010-07-25","2010-08-07",13,1,936,4,12.29,1.43,8,54.86,65.43,0.57,5.43,15.43,9.43,7.14,2,0.29,0,303.422140938895,30.2721409388951
2010,"2010-08-08","2010-08-21",13,1,950,1.71,4.43,0.71,1.57,10.43,7.43,0,0.86,6.14,3.14,0.71,0.29,0,0,303.543572562081,30.3935725620815
2010,"2010-08-22","2010-09-04",13,1,964,2.57,1.86,0.14,3.43,14.71,6,0,1,2.43,3.86,0.43,0.57,0,0,303.087857927595,29.9378579275949
2010,"2010-09-05","2010-09-18",13,3,978,1.71,4,2.57,9.14,29.71,36.86,0,0.57,3.14,2,1.71,0.29,0,0,302.407141549247,29.2571415492467
2010,"2010-09-21","2010-09-27",6,1,987,2,11.43,0,4,19.71,17.71,0,4.86,8.29,0.86,11.71,0,0,0,302.167140415737,29.0171404157366
2010,"2010-09-28","2010-10-04",6,1,994,28,4,2.86,39.43,37.71,47.43,0.57,16,5.14,0,9.14,0.57,0,0,301.625714983259,28.475714983259
2010,"2010-10-05","2010-10-11",6,1,1001,10.86,29.14,2.29,20,43.43,42.86,2.29,23.43,10.29,2.86,29.71,1.71,0,0,300.624285016741,27.4742850167411
2010,"2010-10-12","2010-10-18",6,1,1008,11.71,16.86,3.71,9.14,36.29,23.71,4.57,20.86,12.29,4.86,8.86,0.57,0,0,300.127144949777,26.9771449497768
2010,"2010-10-19","2010-10-25",6,1,1015,58.29,16.57,6.29,17.14,29.14,15.43,5.71,20.57,8,2.86,2.29,0,0,0,299.858564104353,26.7085641043527
2010,"2010-10-26","2010-11-01",6,1,1022,104,2.29,2.29,8,30.86,38.86,10.29,17.71,6.29,0.57,1.14,1.14,0,0,299.818577357701,26.6685773577009
