open,close,middle,doy,cum_days,resolution,next_open,sst,G_menardii,G_siphonifera,O_universa,G_sacculifer,G_ruber_pink,G_ruber_white,P_obliquiloculata,N_dutertrei,G_calida,G_crassaformis,G_glutinata,G_truncatulinoides,G_bulloides,G_falconensis
12/05/10,19/05/10,16/05/10,136,856,7,0,25.95625076,0.57,21.14,8.57,11.43,17.14,42.86,0,3.43,41.71,4.57,6.86,5.71,0,0
19/05/10,26/05/10,23/05/10,143,863,7,0,26.77374802,0.29,4.29,2,3.14,5.71,13.71,0,0.86,20,7.71,3.43,2.57,0,0
26/05/10,02/06/10,30/05/10,150,870,7,0,27.65875397,2.29,4.29,2.57,8.29,23.43,34.57,0,3.43,24.29,6.29,4.29,1.71,0,0
02/06/10,09/06/10,06/06/10,157,877,7,0,27.92374954,0.57,4.57,1.43,4.29,18.29,31.43,0,3.43,10.57,4.57,6.86,0.57,0,0
09/06/10,16/06/10,13/06/10,164,884,7,0,28.85624847,0,4,0,2.29,13.43,11.71,0,0.29,8.29,2.86,3.14,0.29,0.29,0
16/06/10,23/06/10,20/06/10,171,891,7,0,30.32124863,0.86,4.86,2.86,6.86,25.43,25.43,0.57,1.71,18.29,2.86,2.57,0.29,0,0
23/06/10,30/06/10,27/06/10,178,898,7,0,29.69375,0.57,7.14,0.57,4.86,15.14,23.43,0.57,2.86,20,5.71,2,0.57,0.57,0
30/06/10,07/07/10,04/07/10,185,905,7,0,28.87375412,1.14,3.43,2.29,9.14,82.29,36.57,0,4.57,14.29,8.57,1.71,2.29,0,0
07/07/10,14/07/10,11/07/10,192,912,7,0,29.42249832,1.14,4,0.57,6.86,121.14,25.14,0,4.57,5.71,28,1.14,0.57,0,0
14/07/10,25/07/10,20/07/10,201,923,11,0,29.82499593,0,6.91,1.45,4.91,44.36,19.82,0,3.82,7.82,3.27,0.91,1.09,0,0
25/07/10,08/08/10,01/08/10,213,937,14,0,30.31933187,4,12.29,1.43,8,54.86,65.43,0.57,5.43,15.43,9.43,7.14,2,0.29,0
08/08/10,22/08/10,15/08/10,227,951,14,0,30.40266724,1.71,4.43,0.71,1.57,10.43,7.43,0,0.86,6.14,3.14,0.71,0.29,0,0
22/08/10,05/09/10,29/08/10,241,965,14,0,29.90333455,2.57,1.86,0.14,3.43,14.71,6,0,1,2.43,3.86,0.43,0.57,0,0
05/09/10,19/09/10,12/09/10,255,979,14,2,29.26999919,1.71,4,2.57,9.14,29.71,36.86,0,0.57,3.14,2,1.71,0.29,0,0
21/09/10,28/09/10,25/09/10,268,988,7,0,28.99249802,2,11.43,0,4,19.71,17.71,0,4.86,8.29,0.86,11.71,0,0,0
28/09/10,05/10/10,02/10/10,275,995,7,0,28.40875015,28,4,2.86,39.43,37.71,47.43,0.57,16,5.14,0,9.14,0.57,0,0
05/10/10,12/10/10,09/10/10,282,1002,7,0,27.46249924,10.86,29.14,2.29,20,43.43,42.86,2.29,23.43,10.29,2.86,29.71,1.71,0,0
12/10/10,19/10/10,16/10/10,289,1009,7,0,26.96000061,11.71,16.86,3.71,9.14,36.29,23.71,4.57,20.86,12.29,4.86,8.86,0.57,0,0
19/10/10,26/10/10,23/10/10,296,1016,7,0,26.70749435,58.29,16.57,6.29,17.14,29.14,15.43,5.71,20.57,8,2.86,2.29,0,0,0
26/10/10,02/11/10,30/10/10,303,1023,7,0,26.6450058,104,2.29,2.29,8,30.86,38.86,10.29,17.71,6.29,0.57,1.14,1.14,0,0
02/11/10,09/11/10,06/11/10,310,1030,7,0,25.95249329,21.71,24.29,1.14,10,35.43,23.43,5.14,11.43,7.43,1.71,0.86,0.29,0,0
09/11/10,16/11/10,13/11/10,317,1037,7,0,25.10750351,10.86,12.86,2.29,6.57,32.29,41.43,15.43,14,4.57,0.57,2.57,0.29,0,0
16/11/10,23/11/10,20/11/10,324,1044,7,0,24.75625,45.71,21.14,1.14,16,40.57,59.43,60,25.71,5.14,0,1.71,0,0,0
23/11/10,30/11/10,27/11/10,331,1051,7,0,24.46374664,60.57,2.86,0,4,10.86,17.14,41.14,36.57,2.29,1.71,0,0,0,0
30/11/10,07/12/10,04/12/10,338,1058,7,0,23.65000305,12.29,8.86,0.29,0.86,4.57,24.57,29.14,24.86,2.29,0.86,0.86,0.29,0,0
07/12/10,14/12/10,11/12/10,345,1065,7,0,22.77374802,14.29,21.71,0,6.29,25.14,63.43,48,22.29,11.43,0.57,1.14,2.29,0,4
14/12/10,21/12/10,18/12/10,352,1072,7,0,22.15000687,14.86,10.29,1.71,6.29,18.86,66.29,168.57,35.43,24.57,0.57,5.71,2.86,2.29,120.57
21/12/10,28/12/10,25/12/10,359,1079,7,0,21.66125259,17.71,16,0.57,6.29,15.43,30.29,178.29,55.43,34.86,0,6.29,30.86,2.86,284
